alto	alti	alta	alte
attento	attenti	attenta	attente
bello	belli	bella	belle
bianco	bianchi	bianca	bianche
biondo	biondi	bionda	bionde
blu	blu	blu	blu
bravo	bravi	brava	brave
buono	buoni	buona	buone
caldo	caldi	calda	calde
caro	cari	cara	care
castano	castani	castana	castane
corto	corti	corta	corte
difficile	difficili	difficile	difficili
doppio	doppi	doppia	doppie
facile	facili	facile	facili
falso	falsi	falsa	false
felice	felici	felice	felici
freddo	freddi	fredda	fredde
gentile	gentili	gentile	gentili
giallo	gialli	gialla	gialle
giovane	giovani	giovane	giovani
grande	grandi	grande	grandi
importante	importanti	importante	importanti
intelligente	intelligenti	intelligente	intelligenti
interessante	interessanti	interessante	interessanti
internazionale	internazionali	internazionale	internazionali
largo	larghi	larga	larghe
lungo	lunghi	lunga	lunghe
magro	magri	magra	magre
malato	malati	malata	malate
mezzo	mezzi	mezza	mezze
mio	miei	mia	mie
molto	molti	molta	molte
nero	neri	nera	nere
nuovo	nuovi	nuova	nuove
piccolo	piccoli	piccola	piccole
poco	pochi	poca	poche
quanto	quanti	quanta	quante
quello	quelli	quella	quelle
questo	questi	questa	queste
ricco	ricchi	ricca	ricche
rosso	rossi	rossa	rosse
simpatico	simpatici	simpatica	simpatiche
singolo	singoli	singola	singole
sporco	sporchi	sporca	sporche
stanco	stanchi	stanca	stanche
straniero	stranieri	straniera	straniere
stretto	stretti	stretta	strette
tanto	tanti	tanta	tante
triste	tristi	triste	tristi
troppo	troppi	troppa	troppe
tuo	tuoi	tua	tue
tutto	tutti	tutta	tutte
vecchio	vecchi	vecchia	vecchie
verde	verdi	verde	verdi
vero	veri	vera	vere
adulto	adulti	adulta	adulte
alcuno	alcuni	alcuna	alcune
allegro	allegri	allegra	allegre
altro	altri	altra	altre
amaro	amari	amara	amare
antico	antichi	antica	antiche
antipatico	antipatici	antipatica	antipatiche
anziano	anziani	anziana	anziane
arancione	arancioni	arancione	arancioni
azzurro	azzurri	azzurra	azzurre
basso	bassi	bassa	basse
benvenuto	benvenuti	benvenuta	benvenute
brutto	brutti	brutta	brutte
calmo	calmi	calma	calme
cattivo	cattivi	cattiva	cattive
chiaro	chiari	chiara	chiare
comodo	comodi	comoda	comode
completo	completi	completa	complete
contento	contenti	contenta	contente
debole	deboli	debole	deboli
diverso	diversi	diversa	diverse
divertente	divertenti	divertente	divertenti
dolce	dolci	dolce	dolci
elegante	eleganti	elegante	eleganti
elementare	elementari	elementare	elementari
femminile	femminili	femminile	femminili
fermo	fermi	ferma	ferme
forte	forti	forte	forti
fresco	freschi	fresca	fresche
giusto	giusti	giusta	giuste
grasso	grassi	grassa	grasse
grigio	grigi	grigia	grigie
impossibile	impossibili	impossibile	impossibili
inutile	inutili	inutile	inutili
leggero	leggeri	leggera	leggere
lento	lenti	lenta	lente
libero	liberi	libera	libere
liscio	lisci	liscia	lisce
lontano	lontani	lontana	lontane
loro	loro	loro	loro
marrone	marroni	marrone	marroni
maschile	maschili	maschile	maschili
moderno	moderni	moderna	moderne
nervoso	nervosi	nervosa	nervose
noioso	noiosi	noiosa	noiose
normale	normali	normale	normali
nostro	nostri	nostra	nostre
nuvoloso	nuvolosi	nuvolosa	nuvolose
ogni	/	ogni	/
passato	passati	passata	passate
pesante	pesanti	pesante	pesanti
pieno	pieni	piena	piene
pigro	pigri	pigra	pigre
plurale	plurali	plurale	plurali
possibile	possibili	possibile	possibili
povero	poveri	povera	povere
primo	primi	prima	prime
pronto	pronti	pronta	pronte
prossimo	prossimi	prossima	prossime
qualche	/	qualche	/
quale	quali	quale	quali
riccio	ricci	riccia	ricce
rosa	rosa	rosa	rosa
salato	salati	salata	salate
scomodo	scomodi	scomoda	scomode
scorso	scorsi	scorsa	scorse
scuro	scuri	scura	scure
secondo	secondi	seconda	seconde
serio	seri	seria	serie
sicuro	sicuri	sicura	sicure
simile	simili	simile	simili
singolare	singolari	singolare	singolari
solito	soliti	solita	solite
solo	soli	sola	sole
sportivo	sportivi	sportiva	sportive
stesso	stessi	stessa	stesse
storico	storici	storica	storiche
strano	strani	strana	strane
suo	suoi	sua	sue
tiepido	tiepidi	tiepida	tiepide
timido	timidi	timida	timide
tranquillo	tranquilli	tranquilla	tranquille
uguale	uguali	uguale	uguali
ultimo	ultimi	ultima	ultime
utile	utili	utile	utili
vedovo	vedovi	vedova	vedove
veloce	veloci	veloce	veloci
viola	viola	viola	viola
vostro	vostri	vostra	vostre
vuoto	vuoti	vuota	vuote
acido	acidi	acida	acide
affettuoso	affettuosi	affettuosa	affettuose
allergico	allergici	allergica	allergiche
ammobiliato	ammobiliati	ammobiliata	ammobiliate
ansioso	ansiosi	ansiosa	ansiose
appassionato	appassionati	appassionata	appassionate
aspro	aspri	aspra	aspre
avaro	avari	avara	avare
bollente	bollenti	bollente	bollenti
breve	brevi	breve	brevi
capace	capaci	capace	capaci
classico	classici	classica	classiche
confuso	confusi	confusa	confuse
contemporaneo	contemporanei	contemporanea	contemporanee
cordiale	cordiali	cordiale	cordiali
corrente	correnti	corrente	correnti
costoso	costosi	costosa	costose
crudo	crudi	cruda	crude
curioso	curiosi	curiosa	curiose
differente	differenti	differente	differenti
disoccupato	disoccupati	disoccupata	disoccupate
distinto	distinti	distinta	distinte
duro	duri	dura	dure
eccezionale	eccezionali	eccezionale	eccezionali
egoista	egoisti	egoista	egoiste
egregio	egregi	egregia	egregie
estroverso	estroversi	estroversa	estroverse
famoso	famosi	famosa	famose
fantastico	fantastici	fantastica	fantastiche
finale	finali	finale	finali
gelato	gelati	gelata	gelate
generoso	generosi	generosa	generose
grosso	grossi	grossa	grosse
guasto	guasti	guasta	guaste
impaziente	impazienti	impaziente	impazienti
improbabile	improbabili	improbabile	improbabili
improvviso	improvvisi	improvvisa	improvvise
incredibile	incredibili	incredibile	incredibili
indifferente	indifferenti	indifferente	indifferenti
indimenticabile	indimenticabili	indimenticabile	indimenticabili
insipido	insipidi	insipida	insipide
introverso	introversi	introversa	introverse
liquido	liquidi	liquida	liquide
lirico	lirici	lirica	liriche
maggiore	maggiori	maggiore	maggiori
magnifico	magnifici	magnifica	magnifiche
massimo	massimi	massima	massime
medio	medi	media	medie
meglio	meglio	meglio	meglio
meraviglioso	meravigliosi	meravigliosa	meravigliose
migliore	migliori	migliore	migliori
minimo	minimi	minima	minime
minore	minori	minore	minori
mite	miti	mite	miti
musicale	musicali	musicale	musicali
naturale	naturali	naturale	naturali
necessario	necessari	necessaria	necessarie
negativo	negativi	negativa	negative
nessuno	/	nessuna	/
obbligatorio	obbligatori	obbligatoria	obbligatorie
onesto	onesti	onesta	oneste
orribile	orribili	orribile	orribili
ottimista	ottimisti	ottimista	ottimiste
ottimo	ottimi	ottima	ottime
ovale	ovali	ovale	ovali
pedonale	pedonali	pedonale	pedonali
peggio	peggii	peggia	peggie
peggiore	peggiori	peggiore	peggiori
perfetto	perfetti	perfetta	perfette
pessimista	pessimisti	pessimista	pessimiste
pessimo	pessimi	pessima	pessime
piacevole	piacevoli	piacevole	piacevoli
piccante	piccanti	piccante	piccanti
pop	/	pop	/
positivo	positivi	positiva	positive
pratico	pratici	pratica	pratiche
precedente	precedenti	precedente	precedenti
probabile	probabili	probabile	probabili
profondo	profondi	profonda	profonde
quadrato	quadrati	quadrata	quadrate
quadro	quadri	quadra	quadre
qualsiasi	qualsiasi	qualsiasi	qualsiasi
rettangolare	rettangolari	rettangolare	rettangolari
romantico	romantici	romantica	romantiche
rotondo	rotondi	rotonda	rotonde
sano	sani	sana	sane
secco	secchi	secca	secche
abbondante	abbondanti	abbondante	abbondanti
abile	abili	abile	abili
adatto	adatti	adatta	adatte
altrettanto	altrettanti	altrettanta	altrettante
ampio	ampi,ampli	ampia	ampie
artificiale	artificiali	artificiale	artificiali
assente	assenti	assente	assenti
assurdo	assurdi	assurda	assurde
autentico	autentici	autentica	autentiche
beato	beati	beata	beate
celibe	celibi	celibe	celibi
certo	certi	certa	certe
cieco	ciechi	cieca	cieche
colpevole	colpevoli	colpevole	colpevoli
complesso	complessi	complessa	complesse
disabile	disabili	disabile	disabili
disgustoso	disgustosi	disgustosa	disgustose
enorme	enormi	enorme	enormi
esatto	esatti	esatta	esatte
esterno	esterni	esterna	esterne
evidente	evidenti	evidente	evidenti
feriale	feriali	feriale	feriali
festivo	festivi	festiva	festive
figo	fighi	figa	fighe
finto	finti	finta	finte
fragile	fragili	fragile	fragili
ganzo	ganzi	ganza	ganze
grave	gravi	grave	gravi
ideale	ideali	ideale	ideali
impensabile	impensabili	impensabile	impensabili
indispensabile	indispensabili	indispensabile	indispensabili
inferiore	inferiori	inferiore	inferiori
innocente	innocenti	innocente	innocenti
interno	interni	interna	interne
invisibile	invisibili	invisibile	invisibili
lavorativo	lavorativi	lavorativa	lavorative
logico	logici	logica	logiche
lordo	lordi	lorda	lorde
matto	matti	matta	matte
militare	militari	militare	militari
minuscolo	minuscoli	minuscola	minuscole
morbido	morbidi	morbida	morbide
muto	muti	muta	mute
nemico	nemici	nemica	nemiche
netto	netti	netta	nette
/	/	nubile	nubili
opportuno	opportuni	opportuna	opportune
orizzontale	orizzontali	orizzontale	orizzontali
ovvio	ovvi	ovvia	ovvie
parecchio	parecchi	parecchia	parecchie
pazzesco	pazzeschi	pazzesca	pazzesche
pericoloso	pericolosi	pericolosa	pericolose
personale	personali	personale	personali
politico	politici	politica	politiche
porco	porci	porca	porche
presente	presenti	presente	presenti
privato	privati	privata	private
proprio	propri	propria	proprie
pubblico	pubblici	pubblica	pubbliche
puro	puri	pura	pure
qualunque	/	qualunque	/